CH_1_us,CH_1_v
13459999.686656,-4.840000
13480000.225280,-4.800000
13499999.715328,-4.880000
13520000.253952,-4.760000
13539999.744000,-4.840000
13560000.282624,-4.800000
13579999.772672,-4.840000
13600000.311296,-4.800000
13619999.801344,-4.800000
13640000.339968,-4.840000
13659999.830016,-4.880000
13680000.368640,-4.880000
13699999.858688,-4.760000
13720000.397312,-4.560000
13739999.887360,-4.800000
13760000.425984,-4.800000
13779999.916032,-4.760000
13800000.454656,-4.840000
13819999.944704,-4.880000
13840000.483328,-4.960000
13859999.973376,-4.840000
13880000.512000,-4.840000
13900000.002048,-4.840000
13919999.492096,-4.880000
13940000.030720,-4.880000
13959999.520768,-4.800000
13980000.059392,-5.000000
13999999.549440,-4.800000
14020000.088064,-4.800000
14039999.578112,-4.800000
14060000.116736,-4.800000
14079999.606784,-4.840000
14100000.145408,-4.840000
14119999.635456,-4.760000
14140000.174080,-4.800000
14159999.664128,-4.840000
14180000.202752,-4.800000
14199999.692800,-4.840000
14220000.231424,-4.800000
14239999.721472,-4.840000
14260000.260096,-4.880000
14279999.750144,-4.840000
14300000.288768,-4.800000
14319999.778816,-4.800000
14340000.317440,-4.840000
14359999.807488,-4.840000
14380000.346112,-4.840000
14399999.836160,-4.840000
14420000.374784,-4.880000
14439999.864832,-4.840000
14460000.403456,-4.840000
14479999.893504,-4.840000
14500000.432128,-4.880000
14519999.922176,-4.800000
14540000.460800,-4.760000
14559999.950848,-4.840000
14580000.489472,-4.840000
14599999.979520,-4.840000
14620000.518144,-4.840000
14640000.008192,-4.800000
14659999.498240,-4.800000
14680000.036864,-4.760000
14699999.526912,-4.800000
14720000.065536,-4.800000
14739999.555584,-4.840000
14760000.094208,-4.840000
14779999.584256,-4.840000
14800000.122880,-4.840000
14819999.612928,-4.800000
14840000.151552,-4.800000
14859999.641600,-4.840000
14880000.180224,-4.840000
14899999.670272,-4.800000
14920000.208896,-4.800000
14939999.698944,-4.800000
14960000.237568,-4.800000
14979999.727616,-4.880000
15000000.266240,-4.880000
15019999.756288,-4.840000
15040000.294912,-4.800000
15059999.784960,-4.840000
15080000.323584,-4.840000
15099999.813632,-4.840000
15120000.352256,-4.840000
15139999.842304,-4.840000
15160000.380928,-4.840000
15179999.870976,-4.800000
15200000.409600,-4.840000
15219999.899648,-4.840000
15240000.438272,-4.800000
15259999.928320,-4.560000
15280000.466944,-4.840000
15299999.956992,-4.840000
15320000.495616,-4.760000
15339999.985664,-4.880000
15360000.524288,-4.800000
15380000.014336,-4.840000
15399999.504384,-4.840000
15420000.043008,-4.840000
15439999.533056,-4.800000
15460000.071680,-4.720000
15479999.561728,-4.840000
15500000.100352,-4.800000
15519999.590400,-4.600000
15540000.129024,-4.800000
15559999.619072,-4.840000
15580000.157696,-4.880000
15599999.647744,-4.840000
15620000.186368,-4.840000
15639999.676416,-4.840000
15660000.215040,-4.840000
15679999.705088,-4.840000
15700000.243712,-4.840000
15719999.733760,-4.800000
15740000.272384,-4.840000
15759999.762432,-4.800000
15780000.301056,-4.760000
15799999.791104,-4.840000
15820000.329728,-4.800000
15839999.819776,-4.800000
15860000.358400,-4.840000
15879999.848448,-4.760000
15900000.387072,-4.800000
15919999.877120,-4.840000
15940000.415744,-4.840000
15959999.905792,-4.840000
15980000.444416,-4.840000
15999999.934464,-4.840000
16020000.473088,-4.840000
16039999.963136,-4.840000
16060000.501760,-4.840000
16079999.991808,-4.840000
16099999.481856,-4.840000
16120000.020480,-4.840000
16139999.510528,-4.840000
16160000.049152,-4.840000
16179999.539200,-4.840000
16200000.077824,-4.840000
16219999.567872,-4.840000
16240000.106496,-4.800000
16259999.596544,-4.840000
16280000.135168,-4.840000
16299999.625216,-5.040000
16320000.163840,-4.880000
16339999.653888,-4.800000
16360000.192512,-4.840000
16379999.682560,-4.800000
16400000.221184,-4.800000
16419999.711232,-4.880000
16440000.249856,-4.840000
16459999.739904,-4.840000
16480000.278528,-4.840000
16499999.768576,-4.840000
16520000.307200,-4.840000
16539999.797248,-4.800000
16560000.335872,-4.880000
16579999.825920,-4.840000
16600000.364544,-4.840000
16619999.854592,-4.600000
16640000.393216,-4.800000
16659999.883264,-4.880000
16680000.421888,-4.800000
16699999.911936,-4.840000
16720000.450560,-4.840000
16739999.940608,-4.840000
16760000.479232,-4.840000
16779999.969280,-4.800000
16800000.507904,-4.840000
16819999.997952,-4.840000
16839999.488000,-4.840000
16860000.026624,-4.800000
16879999.516672,-4.800000
16900000.055296,-4.800000
16919999.545344,-4.800000
16940000.083968,-4.840000
16959999.574016,-4.800000
16980000.112640,-4.720000
16999999.602688,-4.840000
17020000.141312,-4.800000
17039999.631360,-4.840000
17060000.169984,-4.840000
17079999.660032,-4.880000
17100000.198656,-4.840000
17119999.688704,-4.800000
17140000.227328,-4.840000
17159999.717376,-4.840000
17180000.256000,-4.800000
17199999.746048,-4.800000
17220000.284672,-4.840000
17239999.774720,-4.800000
17260000.313344,-4.800000
17279999.803392,-4.880000
17300000.342016,-4.840000
17319999.832064,-4.840000
17340000.370688,-4.840000
17359999.860736,-4.840000
17380000.399360,-4.800000
17399999.889408,-4.840000
17420000.428032,-4.800000
17439999.918080,-4.840000
17460000.456704,-4.840000
17479999.946752,-4.840000
17500000.485376,-4.840000
17519999.975424,-4.840000
17540000.514048,-4.800000
17560000.004096,-4.880000
17579999.494144,-4.800000
17600000.032768,-4.640000
17620000.571392,-4.800000
17639999.012864,-4.840000
17659999.551488,-4.760000
17680000.090112,-4.840000
17700000.628736,-4.840000
17719999.070208,-4.840000
17739999.608832,-4.800000
17760000.147456,-4.800000
17780000.686080,-4.800000
17799999.127552,-4.800000
17819999.666176,-4.840000
17840000.204800,-4.800000
17860000.743424,-4.840000
17879999.184896,-4.840000
17899999.723520,-4.760000
17920000.262144,-4.840000
17940000.800768,-4.880000
17959999.242240,-4.800000
17979999.780864,-4.840000
18000000.319488,-4.840000
18020000.858112,-4.840000
18039999.299584,-4.840000
18059999.838208,-4.800000
18080000.376832,-4.840000
18100000.915456,-4.840000
18119999.356928,-4.800000
18139999.895552,-4.880000
18160000.434176,-4.840000
18180000.972800,-4.840000
18199999.414272,-4.600000
18219999.952896,-4.840000
18240000.491520,-4.800000
18260001.030144,-4.840000
18279999.471616,-4.800000
18300000.010240,-4.840000
18320000.548864,-4.800000
18339998.990336,-4.880000
18359999.528960,-4.840000
18380000.067584,-4.680000
18400000.606208,-4.800000
18419999.047680,-4.800000
18439999.586304,-4.840000
18460000.124928,-4.800000
18480000.663552,-4.840000
18499999.105024,-4.840000
18519999.643648,-4.800000
18540000.182272,-4.800000
18560000.720896,-4.800000
18579999.162368,-4.880000
18599999.700992,-4.840000
18620000.239616,-4.800000
18640000.778240,-4.920000
18659999.219712,-4.800000
18679999.758336,-4.840000
18700000.296960,-4.800000
18720000.835584,-4.800000
18739999.277056,-4.840000
18759999.815680,-4.840000
18780000.354304,-4.800000
18800000.892928,-4.800000
18819999.334400,-4.840000
18839999.873024,-4.800000
18860000.411648,-4.840000
18880000.950272,-4.880000
18899999.391744,-4.880000
18919999.930368,-4.960000
18940000.468992,-4.840000
18960001.007616,-4.840000
18979999.449088,-4.840000
18999999.987712,-4.800000
19020000.526336,-4.880000
19039998.967808,-5.320000
19059999.506432,-4.840000
19080000.045056,-5.320000
19100000.583680,-4.800000
19119999.025152,-4.800000
19139999.563776,-4.840000
19160000.102400,-4.840000
19180000.641024,-4.880000
19199999.082496,-4.800000
19219999.621120,-4.840000
19240000.159744,-4.800000
19260000.698368,-4.800000
19279999.139840,-4.720000
19299999.678464,-4.840000
19320000.217088,-4.800000
19340000.755712,-4.840000
19359999.197184,-4.840000
19379999.735808,-4.840000
19400000.274432,-4.840000
19420000.813056,-4.840000
19439999.254528,-4.800000
19459999.793152,-4.840000
19480000.331776,-4.840000
19500000.870400,-4.880000
19519999.311872,-4.840000
19539999.850496,-4.880000
19560000.389120,-4.840000
19580000.927744,-4.840000
19599999.369216,-4.840000
19619999.907840,-4.840000
19640000.446464,-4.760000
19660000.985088,-4.800000
19679999.426560,-4.800000
19699999.965184,-4.840000
19720000.503808,-4.840000
19740001.042432,-4.840000
19759999.483904,-4.800000
19780000.022528,-4.840000
19800000.561152,-4.840000
19819999.002624,-4.840000
19839999.541248,-4.880000
19860000.079872,-4.840000
19880000.618496,-4.880000
19899999.059968,-4.840000
19919999.598592,-4.840000
19940000.137216,-4.840000
19960000.675840,-4.800000
19979999.117312,-4.800000
19999999.655936,-4.840000
20020000.194560,-4.800000
20040000.733184,-4.840000
20059999.174656,-4.840000
20079999.713280,-4.840000
20100000.251904,-4.800000
20120000.790528,-4.880000
20139999.232000,-4.840000
20159999.770624,-4.840000
20180000.309248,-4.720000
20200000.847872,-4.840000
20219999.289344,-4.840000
20239999.827968,-4.840000
20260000.366592,-4.840000
20280000.905216,-4.840000
20299999.346688,-4.800000
20319999.885312,-4.800000
20340000.423936,-4.880000
20360000.962560,-4.800000
20379999.404032,-4.840000
20399999.942656,-4.840000
20420000.481280,-4.840000
20440001.019904,-4.440000
20459999.461376,-4.840000
20480000.000000,-4.840000
20500000.538624,-4.800000
20519998.980096,-4.840000
20539999.518720,-4.840000
20560000.057344,-4.800000
20580000.595968,-4.800000
20599999.037440,-4.840000
20619999.576064,-4.800000
20640000.114688,-4.880000
20660000.653312,-4.800000
